"","pap_research","pub_research","effect_rate","share","use_opp","benefits","reusecost","cost","time","Publ","impact"
"5878",0.0942327383739797,10.6120231381934,0.0863561104771653,1,0,0,0,0.041,11.981,0.083,0.083
"5879",1.81109734147454,0.552151437197645,1.71629341059225,1,1,0.126,0.002,0.041,0.426,2.347,2.347
"5880",1.86502397922365,0.536186135481362,2.05042546147875,0,0,0,0,0,0.536,1.866,1.866
"5881",0.934003970906922,1.07065925964854,0.887618585461677,0,0,0,0,0,1.071,0.934,0.934
"5882",5.72241699681933,0.17475133331874,5.56782699085159,0,3,0.095,0.001,0,0.122,8.197,8.197
"5883",8.32266899412215,0.120153763258667,9.09735973910317,0,2,0.045,0.001,0,0.104,9.615,9.615
"5884",0.690385274841681,1.44846658299501,0.638921525869426,0,0,0,0,0,1.448,0.691,0.691
"5885",0.220383536311285,4.53754403227077,0.226265580144273,0,0,0,0,0,4.538,0.22,0.22
"5886",1.82700465073909,0.547343981634345,1.97834192439847,0,1,0.136,0.001,0,0.341,2.933,2.933
"5887",1.97602843210522,0.506065592859219,1.93430292933367,0,0,0,0,0,0.506,1.976,1.976
"5888",4.69152623235571,0.213150252278965,4.66007009985182,1,2,0.081,0.001,0.041,0.188,5.319,5.319
"5889",2.09246207519599,0.477905913733866,1.91376016778087,1,0,0,0,0.041,0.533,1.876,1.876
"5890",2.90770221894123,0.343914171638981,3.09932538435972,1,0,0,0,0.041,0.386,2.591,2.591
"5891",4.14827066873749,0.241064308444547,3.93538182969049,1,2,0.111,0.001,0.041,0.193,5.181,5.181
"5892",1.05561892523112,0.947311549744197,1.04157505734483,0,0,0,0,0,0.947,1.056,1.056
"5893",0.00489025761105131,204.488204821794,0.0052785292406564,0,0,0,0,0,204.488,0.005,0.005
"5894",1.03872327606422,0.962720315452114,1.01320174240168,1,1,0.171,0.003,0.041,0.591,1.692,1.692
"5895",0.537675974359085,1.85985621022403,0.516952576360533,1,0,0,0,0.041,2.077,0.481,0.481
"5896",0.782759963930456,1.27753084736056,0.786088382764044,1,0,0,0,0.041,1.436,0.696,0.696
"5897",0.0596701162680918,16.7588076334073,0.0569966020060751,0,0,0,0,0,16.759,0.06,0.06
"5898",0.214818666826874,4.65508893976108,0.231375130591426,1,0,0,0,0.041,5.212,0.192,0.192
"5899",1.09679215352037,0.911749775734905,1.09970092862415,1,0,0,0,0.041,1.022,0.978,0.978
"5900",4.84692689913686,0.206316295007065,5.0158022604984,1,3,0.125,0.002,0.041,0.155,6.452,6.452
"5901",4.81562418100584,0.207657400663507,4.89054818208886,0,2,0.085,0.001,0,0.156,6.41,6.41
"5902",1.1301809652087,0.884814052602047,1.12103735334107,0,0,0,0,0,0.885,1.13,1.13
